Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall
80617,42,594,51,631,72,55,32,1,4,6,8,2,0,0,0,0,0,0,25,2784,1403,1371,0
5305,12,12,4,7,1,3,5,0,1,0,0,13,0,0,0,0,0,0,44,2493,27,22,0
36807,88,4,2,5,0,0,5,1,1,0,2,6,0,0,0,0,0,0,66,2715,11,6,0
28427,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,37,2624,46,40,0
82032,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,72,2244,1177,1120,0
22775,40,5,1,8,0,0,1,1,1,0,2,8,0,0,0,0,0,0,42,2534,14,13,0
40101,73,171,3,129,26,24,62,4,6,1,6,7,0,0,0,0,0,0,35,2782,353,291,0
58025,81,270,31,88,11,48,22,3,3,2,10,4,0,0,0,0,0,0,41,2374,448,426,0
75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,38,2519,1358,1278,2
7500,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,41,2577,32,11,0
33562,33,21,12,12,0,3,3,3,2,0,4,4,0,0,0,0,0,0,57,2163,48,45,0
57642,24,580,6,58,8,0,27,3,7,6,6,4,1,0,0,0,0,0,50,2330,652,625,1
58554,55,368,24,68,38,0,88,6,8,2,6,7,0,0,0,0,0,0,52,2800,498,410,0
63777,87,457,5,106,15,17,53,8,11,1,6,8,0,0,0,0,0,0,41,2621,600,547,0
57967,39,229,7,137,4,0,91,5,4,2,8,5,0,0,0,0,0,0,58,2642,377,286,0
24434,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,48,2201,33,16,0
11012,82,24,3,26,7,1,23,3,3,1,2,9,1,0,0,0,0,0,36,2629,61,38,1
44802,71,853,10,143,13,10,20,2,9,4,12,8,0,0,0,0,0,0,50,2836,1029,1009,0
26816,50,5,1,6,3,4,3,1,0,0,3,4,0,0,0,0,0,0,34,2840,19,16,0
34421,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,46,2522,21,12,0
61223,46,709,43,182,42,118,247,2,9,3,4,5,0,0,0,0,0,0,53,2540,1094,847,0
64014,56,406,0,30,0,0,8,7,8,2,5,7,0,0,0,1,0,0,74,2178,436,428,1
56981,91,908,48,217,32,12,24,1,2,3,13,6,0,1,0,0,0,0,39,2314,1217,1193,1
69245,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,64,2315,782,721,0
52869,40,84,3,61,2,1,21,3,3,1,4,7,0,0,0,0,0,1,66,2781,151,130,0
